route,date,daytype,rides
1,01/02/2014,W,1613
10,01/02/2014,W,526
100,01/02/2014,W,344
1001,01/02/2014,W,41
103,01/02/2014,W,1469
106,01/02/2014,W,717
108,01/02/2014,W,641
11,01/02/2014,W,1046
111,01/02/2014,W,1892
111A,01/02/2014,W,62
112,01/02/2014,W,953
115,01/02/2014,W,2163
119,01/02/2014,W,3042
12,01/02/2014,W,9414
120,01/02/2014,W,909
121,01/02/2014,W,1252
124,01/02/2014,W,783
125,01/02/2014,W,1280
126,01/02/2014,W,3529
132,01/02/2014,W,258
134,01/02/2014,W,2608
135,01/02/2014,W,2959
136,01/02/2014,W,1637
143,01/02/2014,W,1451
146,01/02/2014,W,11921
147,01/02/2014,W,10219
148,01/02/2014,W,1783
15,01/02/2014,W,3807
151,01/02/2014,W,14889
152,01/02/2014,W,6225
155,01/02/2014,W,5311
156,01/02/2014,W,6833
157,01/02/2014,W,3226
165,01/02/2014,W,66
169,01/02/2014,W,135
170,01/02/2014,W,348
171,01/02/2014,W,738
172,01/02/2014,W,925
18,01/02/2014,W,2360
19,01/02/2014,W,451
192,01/02/2014,W,631
2,01/02/2014,W,1941
20,01/02/2014,W,12900
201,01/02/2014,W,1357
205,01/02/2014,W,604
206,01/02/2014,W,298
21,01/02/2014,W,5018
22,01/02/2014,W,16133
24,01/02/2014,W,1819
26,01/02/2014,W,2078
28,01/02/2014,W,4484
29,01/02/2014,W,8778
3,01/02/2014,W,12731
30,01/02/2014,W,1668
34,01/02/2014,W,3282
35,01/02/2014,W,2999
36,01/02/2014,W,12154
37,01/02/2014,W,1330
39,01/02/2014,W,1261
4,01/02/2014,W,13904
43,01/02/2014,W,1142
44,01/02/2014,W,2379
47,01/02/2014,W,6583
48,01/02/2014,W,565
49,01/02/2014,W,16374
49B,01/02/2014,W,3762
5,01/02/2014,W,366
50,01/02/2014,W,7585
51,01/02/2014,W,944
52,01/02/2014,W,7964
52A,01/02/2014,W,2897
53,01/02/2014,W,12585
53A,01/02/2014,W,4099
54,01/02/2014,W,7858
54A,01/02/2014,W,584
54B,01/02/2014,W,2202
55,01/02/2014,W,7002
55A,01/02/2014,W,190
55N,01/02/2014,W,366
56,01/02/2014,W,7272
57,01/02/2014,W,2703
59,01/02/2014,W,2245
6,01/02/2014,W,8005
60,01/02/2014,W,6825
62,01/02/2014,W,6546
62H,01/02/2014,W,637
63,01/02/2014,W,10655
63W,01/02/2014,W,856
65,01/02/2014,W,6463
66,01/02/2014,W,19170
67,01/02/2014,W,7530
68,01/02/2014,W,873
7,01/02/2014,W,3294
70,01/02/2014,W,6448
71,01/02/2014,W,5756
72,01/02/2014,W,11806
73,01/02/2014,W,3559
74,01/02/2014,W,9056
75,01/02/2014,W,4849
76,01/02/2014,W,8927
77,01/02/2014,W,16423
78,01/02/2014,W,6370
79,01/02/2014,W,17360
8,01/02/2014,W,14207
80,01/02/2014,W,9542
81,01/02/2014,W,9067
81W,01/02/2014,W,1384
82,01/02/2014,W,11278
84,01/02/2014,W,2533
85,01/02/2014,W,6761
85A,01/02/2014,W,697
86,01/02/2014,W,908
87,01/02/2014,W,7743
88,01/02/2014,W,822
8A,01/02/2014,W,1834
9,01/02/2014,W,17774
90,01/02/2014,W,3516
91,01/02/2014,W,4320
92,01/02/2014,W,4265
93,01/02/2014,W,2038
94,01/02/2014,W,5950
95E,01/02/2014,W,2286
95W,01/02/2014,W,1561
96,01/02/2014,W,566
97,01/02/2014,W,2205
J14,01/02/2014,W,8070
X98,01/02/2014,W,14
1,01/03/2014,W,1620
10,01/03/2014,W,407
100,01/03/2014,W,394
1001,01/03/2014,W,14
103,01/03/2014,W,1620
106,01/03/2014,W,827
108,01/03/2014,W,827
11,01/03/2014,W,1155
111,01/03/2014,W,2508
111A,01/03/2014,W,134
112,01/03/2014,W,1448
115,01/03/2014,W,2501
119,01/03/2014,W,3682
12,01/03/2014,W,10871
120,01/03/2014,W,929
121,01/03/2014,W,1233
124,01/03/2014,W,882
125,01/03/2014,W,1472
126,01/03/2014,W,4782
132,01/03/2014,W,243
134,01/03/2014,W,2949
135,01/03/2014,W,3378
136,01/03/2014,W,1820
143,01/03/2014,W,1514
146,01/03/2014,W,12119
147,01/03/2014,W,10680
148,01/03/2014,W,2039
15,01/03/2014,W,5316
151,01/03/2014,W,16098
152,01/03/2014,W,6498
155,01/03/2014,W,5658
156,01/03/2014,W,7444
157,01/03/2014,W,3433
165,01/03/2014,W,110
169,01/03/2014,W,104
170,01/03/2014,W,450
171,01/03/2014,W,856
172,01/03/2014,W,1160
18,01/03/2014,W,2861
192,01/03/2014,W,630
2,01/03/2014,W,2340
20,01/03/2014,W,15454
201,01/03/2014,W,1445
205,01/03/2014,W,563
206,01/03/2014,W,260
21,01/03/2014,W,6707
22,01/03/2014,W,18140
24,01/03/2014,W,2165
26,01/03/2014,W,2263
28,01/03/2014,W,5698
29,01/03/2014,W,10661
3,01/03/2014,W,14719
30,01/03/2014,W,1898
34,01/03/2014,W,3893
35,01/03/2014,W,3971
36,01/03/2014,W,13119
37,01/03/2014,W,1399
39,01/03/2014,W,1399
4,01/03/2014,W,17377
43,01/03/2014,W,1311
44,01/03/2014,W,2844
47,01/03/2014,W,7913
48,01/03/2014,W,695
49,01/03/2014,W,19679
49B,01/03/2014,W,4452
5,01/03/2014,W,429
50,01/03/2014,W,7964
51,01/03/2014,W,1072
52,01/03/2014,W,8758
52A,01/03/2014,W,3043
53,01/03/2014,W,15519
53A,01/03/2014,W,4431
54,01/03/2014,W,9143
54A,01/03/2014,W,631
54B,01/03/2014,W,2349
